settlement_id,settlement_name,latitude,longitude,region,district,date,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,imd_grid_latitude,imd_grid_longitude
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-01,0.0,,,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-02,0.0,,,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-03,0.0,0.0,,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-04,0.0,0.0,,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-05,0.0,0.0,,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-06,0.0,0.0,,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-07,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-08,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-09,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-10,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-11,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-12,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-13,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-14,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-15,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-16,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-17,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-18,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-19,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-20,0.0,0.0,0.0,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-21,2.7125957012176514,2.7125957012176514,2.7125957012176514,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-22,9.68580436706543,12.398400068283081,12.398400068283081,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-23,0.2062680721282959,12.604668140411377,12.604668140411377,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-24,0.0,9.892072439193726,12.604668140411377,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-25,0.0,0.2062680721282959,12.604668140411377,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-26,0.0,0.0,12.604668140411377,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-27,2.9795188903808594,2.9795188903808594,15.584187030792236,11.5,76.75
DEMO-NLG-001,Demo Nilgiris location A,11.41,76.69,Tamil Nadu,Nilgiris,2017-01-28,33.073970794677734,36.053489685058594,45.94556212425232,11.5,76.75
